"WorkshopId","GuessedName","FilesCopied","Bytes"
"3373356293","Westland Lynx HAS.3","17","118915"
"3373960386","Flight Deck Ops","45","5581401"
"3378409795","Type 23 Frigate","14","139638"
"3380210757","Anchor Chain","1","157"
"3384079999","Humpback Whale","4","12419"
"3390330875","Modern US Navy","221","5814150"
"3392434750","S-400 SAM","24","109347"
"3394781441","B-52G with AGM-86 ALCM(more realistic nuke)","17","105795"
"3395022688","Tu-95MS with AS-15 ALCM(more realistic nuke)","24","189218"
"3403661005","S-70B-2 Seahawk with AGM-114 'Hellfire' Missiles","17","101171"
"3403993583","Armed Oil Rig with helo","4","17532"
"3406985435","Kirov-class (Pyotr Velikiy Upgrade)","28","157665"
"3408662804","ä¼Šæ–¯åŽå¾·å°”","11","23233"
"3411341227","Tu-95K-22","7","29173"
"3413868677","Red Storm Arsenal","1062","20267257"
"3414146266","A-10","21","63113"
"3416372890","MIG-29A & F-16A","49","173819"
"3417446309","MIG-29 Family","52","415056"
"3417801942","PRC Chinese Navy (PLAN)","48","711295"
"3418252667","F-22","41","192541"
"3425450153","AH-64  Apache","46","219379"
"3426791311","F/A-18E/F","91","427140"
"3430106996","Merchants Expanded","5","42967"
"3430135740","Murder Hornet with AIM-174B","39","254916"
"3432592449","Nimitz Expanded","3","170031"
"3432668460","Auxilliary Merchant Pack","22","346792"
"3433577445","PLAAF J-8","44","195348"
"3433957933","Virginia, Seawolf, and Ohio-class submarines","28","331034"
"3434072450","Sukhoi Su-27","72","395598"
"3436170138","PLAAF J-11","68","286629"
"3437105712","MIM-104","38","158155"
"3438479626","1143.5 Kuznetsov","82","477533"
"3444379330","Euromod-Dutch Navy","58","513105"
"3448845252","F-117","16","42668"
"3451166840","SU-25 Frogfoot","29","137468"
"3455931957","Sea Lynx","77","298591"
"3456859157","Mogami-class frigate","17","155386"
"3458148344","Mi-8EW","4","72312"
"3459682829","A-10C","32","88322"
"3461044389","Gerald R. Ford-class CVN","31","617851"
"3461091581","Air Deck Operations Upgrade - Nimitz (2000s)","7","1034799"
"3461519690","SCUD-B","10","24482"
"3465256032","Mi-8T/TV","20","54786"
"3468260539","Russian Submarines","66","573930"
"3468959181","U-2 Dragon Lady","11","80368"
"3470643173","æ—¥æœ¬é™†ä¸Šè‡ªå«é˜Ÿ12å¼å²¸èˆ°å¯¼å¼¹ç³»ç»Ÿ","12","19534"
"3478767194","VH-3D Marine One Mod","8","20927"
"3480965706","B-2 Spirit","38","171680"
"3481228992","J10C","65","255985"
"3486502935","Type 003 CV / future Type 004 CVN aircraft carriers","78","795548"
"3488139470","Modern Italian Navy - Euromod","65","633289"
"3497601759","Shahed 136","15","36870"
"3499239964","E-7A Wedgetail","27","359801"
"3502273861","arrw","19","85482"
"3503594612","SU-57","38","185331"
"3503670861","General Atomics MQ-9 Reaper","32","94978"
"3504168760","Dassault Rafale","49","365987"
"3505420313","Italian Navy mod","324","2092768"
"3506979898","J-16","36","205761"
"3508275114","Ground upgrade: SPAA","93","317027"
"3508978375","F-35C lIghting II","45","145624"
"3509329205","TU-160","34","159439"
"3513571010","Mil Mi-24 Hind","21","80677"
"3514484654","RAAF F-35A Lighting II","40","127501"
"3524112296","Beriev a-50 series AEW&C AND Il-76 Airliner","65","241705"
"3526982088","JH7A","70","269387"
"3551676319","SEJJIL (Ballistic Missiles)","10","21646"
"3558173926","David's Sling","14","27233"
"3559495372","Lockheed AC-130","46","174298"
"3567228449","French Helicopter Package","191","970525"
"3567256221","Charles De Gaulle & Modern French Navy","288","1283923"
"3575847216","Euromod-Addon Modern German Navy","138","2133780"
"3587091564","P-750 Meteorit-A","7","49037"
"3587877691","Eurofighter Typhoon","46","215617"
"3590477166","MH-60R","18","71000"
"3591563716","J-20A","32","111488"
"3592460366","Modern US Airbase","4","20448"
"3594891803","PLAN Submarines (039, 039A/B/C, 093/093A/093B, 094/094A)","154","2154471"
"3597650470","Russian Navy 21","118","1170318"
"3599752717","Modern British Navy - Euromod","107","635708"
"3600788156","Buildings and Objectives","40","62894"
"3601891050","ä¸­å°åž‹æ— äººæœºç³»åˆ—","29","81420"
"3602046770","","15","35678"
"3606134711","Custom Loadout Editor","157","427608"
"3606774881","U.S. Navy 2027 Capabilities","91","4234204"
"3607989779","F-35C Lightning II Alt. Loadouts","24","186696"
"3629144864","Euromod pack","529","3679099"
"3629269283","Modern Russian Airbase","4","25416"
"3630495619","Spanish Navy Mod (Cold War)","158","708262"
"3631042692","Modern Chinese Airbase","4","25317"
"3636386513","F-15SE","46","155078"
"3637954857","KJ-500","45","202376"
"3642656500","Euromod-Scandinavian Navy","44","370073"
"3652097318","B-1B Lancer","35","109831"
"3654230227","AI Doctrine Overhaul","2","573"
"3659742367","Mig-35","34","156120"
